GR,RHOB,ILD,SP,NPHI
-999.0,-999.0,-999.0,-10.1406002,-999.0
-999.0,-999.0,-999.0,-10.96090031,-999.0
-999.0,-999.0,-999.0,-11.72659969,-999.0
-999.0,-999.0,-999.0,-12.40629959,-999.0
-999.0,-999.0,-999.0,-13.5781002,-999.0
-999.0,-999.0,-999.0,-13.5625,-999.0
-999.0,-999.0,-999.0,-13.6953001,-999.0
-999.0,-999.0,-999.0,-14.1718998,-999.0
-999.0,-999.0,-999.0,-14.8593998,-999.0
-999.0,-999.0,-999.0,-15.2656002,-999.0
-999.0,-999.0,-999.0,-15.3906002,-999.0
-999.0,-999.0,-999.0,-15.70310116,-999.0
-999.0,-999.0,-999.0,-16.1093998,-999.0
-999.0,-999.0,-999.0,-16.3593998,-999.0
-999.0,-999.0,-999.0,-16.40629959,-999.0
-999.0,-999.0,-999.0,-16.40629959,-999.0
-999.0,-999.0,-999.0,-16.28129959,-999.0
-999.0,-999.0,-999.0,-16.6875,-999.0
-999.0,-999.0,-999.0,-17.25,-999.0
-999.0,-999.0,-999.0,-17.78129959,-999.0
-999.0,-999.0,-999.0,-18.78129959,-999.0
-999.0,-999.0,-999.0,-19.34379959,-999.0
-999.0,-999.0,-999.0,-20.2031002,-999.0
-999.0,-999.0,-999.0,-20.3593998,-999.0
-999.0,-999.0,-999.0,-20.9531002,-999.0
-999.0,-999.0,-999.0,-21.71879959,-999.0
-999.0,-999.0,-999.0,-22.40629959,-999.0
-999.0,-999.0,-999.0,-22.0625,-999.0
-999.0,-999.0,-999.0,-22.21879959,-999.0
-999.0,-999.0,-999.0,-22.9375,-999.0
-999.0,-999.0,-999.0,-23.6875,-999.0
-999.0,-999.0,-999.0,-24.34379959,-999.0
-999.0,-999.0,-999.0,-25.125,-999.0
-999.0,-999.0,-999.0,-25.46879959,-999.0
-999.0,-999.0,-999.0,-25.9531002,-999.0
-999.0,-999.0,-999.0,-26.1093998,-999.0
-999.0,-999.0,-999.0,-26.375,-999.0
-999.0,-999.0,-999.0,-26.4375,-999.0
-999.0,-999.0,-999.0,-26.6875,-999.0
-999.0,-999.0,-999.0,-26.9375,-999.0
-999.0,-999.0,-999.0,-27.4375,-999.0
-999.0,-999.0,-999.0,-28.2343998,-999.0
-999.0,-999.0,-999.0,-28.7031002,-999.0
-999.0,-999.0,-999.0,-29.2031002,-999.0
-999.0,-999.0,-999.0,-29.5781002,-999.0
-999.0,-999.0,-999.0,-29.84379959,-999.0
-999.0,-999.0,-999.0,-30.75,-999.0
-999.0,-999.0,-999.0,-31.6718998,-999.0
-999.0,-999.0,-999.0,-31.71879768,-999.0
-999.0,-999.0,-999.0,-31.6718998,-999.0
-999.0,-999.0,-999.0,-31.84379959,-999.0
-999.0,-999.0,-999.0,-32.375,-999.0
-999.0,-999.0,-999.0,-32.6875,-999.0
-999.0,-999.0,-999.0,-33.0,-999.0
-999.0,-999.0,-999.0,-33.0625,-999.0
-999.0,-999.0,-999.0,-33.53129959,-999.0
-999.0,-999.0,-999.0,-33.78129959,-999.0
-999.0,-999.0,-999.0,-33.6875,-999.0
-999.0,-999.0,-999.0,-33.78129959,-999.0
-999.0,-999.0,-999.0,-33.9375,-999.0
-999.0,-999.0,-999.0,-34.09379959,-999.0
-999.0,-999.0,-999.0,-34.34379959,-999.0
-999.0,-999.0,-999.0,-34.3125,-999.0
-999.0,-999.0,-999.0,-34.53129959,-999.0
-999.0,-999.0,-999.0,-34.6875,-999.0
-999.0,-999.0,-999.0,-34.78129959,-999.0
-999.0,-999.0,-999.0,-34.84379959,-999.0
-999.0,-999.0,-999.0,-35.21879959,-999.0
-999.0,-999.0,-999.0,-35.78129959,-999.0
-999.0,-999.0,-999.0,-36.46879959,-999.0
-999.0,-999.0,-999.0,-36.125,-999.0
-999.0,-999.0,-999.0,-36.4375,-999.0
-999.0,-999.0,-999.0,-37.28129959,-999.0
-999.0,-999.0,-999.0,-38.4375,-999.0
-999.0,-999.0,-999.0,-39.5625,-999.0
-999.0,-999.0,-999.0,-40.46879959,-999.0
-999.0,-999.0,-999.0,-41.375,-999.0
-999.0,-999.0,-999.0,-42.125,-999.0
-999.0,-999.0,-999.0,-42.78129959,-999.0
-999.0,-999.0,-999.0,-43.25,-999.0
-999.0,-999.0,-999.0,-43.84379959,-999.0
-999.0,-999.0,-999.0,-44.25,-999.0
-999.0,-999.0,-999.0,-45.0,-999.0
-999.0,-999.0,-999.0,-45.125,-999.0
-999.0,-999.0,-999.0,-45.5,-999.0
-999.0,-999.0,-999.0,-45.8125,-999.0
-999.0,-999.0,-999.0,-46.09379959,-999.0
-999.0,-999.0,-999.0,-46.5,-999.0
-999.0,-999.0,-999.0,-46.78129959,-999.0
-999.0,-999.0,-999.0,-47.15629959,-999.0
-999.0,-999.0,-999.0,-47.65629959,-999.0
-999.0,-999.0,-999.0,-47.21879959,-999.0
-999.0,-999.0,-999.0,-46.78129959,-999.0
-999.0,-999.0,-999.0,-47.125,-999.0
-999.0,-999.0,-999.0,-47.5,-999.0
-999.0,-999.0,-999.0,-47.46879959,-999.0
-999.0,-999.0,-999.0,-47.4375,-999.0
-999.0,-999.0,-999.0,-47.15629959,-999.0
-999.0,-999.0,-999.0,-46.78129959,-999.0
-999.0,-999.0,-999.0,-46.5625,-999.0
-999.0,-999.0,-999.0,-46.1875,-999.0
-999.0,-999.0,-999.0,-45.96879959,-999.0
-999.0,-999.0,-999.0,-45.6875,-999.0
-999.0,-999.0,-999.0,-45.71879959,-999.0
-999.0,-999.0,-999.0,-45.53129959,-999.0
-999.0,-999.0,-999.0,-45.5,-999.0
-999.0,-999.0,-999.0,-45.53129959,-999.0
-999.0,-999.0,-999.0,-45.5625,-999.0
-999.0,-999.0,-999.0,-45.40629959,-999.0
-999.0,-999.0,-999.0,-45.125,-999.0
-999.0,-999.0,-999.0,-44.875,-999.0
-999.0,-999.0,-999.0,-44.53129959,-999.0
-999.0,-999.0,-999.0,-44.375,-999.0
-999.0,-999.0,-999.0,-43.03129959,-999.0
-999.0,-999.0,-999.0,-42.25,-999.0
-999.0,-999.0,-999.0,-41.90629959,-999.0
-999.0,-999.0,-999.0,-41.375,-999.0
-999.0,-999.0,-999.0,-40.78129959,-999.0
-999.0,-999.0,-999.0,-40.0,-999.0
-999.0,-999.0,-999.0,-39.28129959,-999.0
-999.0,-999.0,-999.0,-38.9375,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-37.59379959,-999.0
-999.0,-999.0,-999.0,-36.59379959,-999.0
-999.0,-999.0,-999.0,-35.875,-999.0
-999.0,-999.0,-999.0,-34.71879959,-999.0
-999.0,-999.0,-999.0,-33.6875,-999.0
-999.0,-999.0,-999.0,-32.875,-999.0
-999.0,-999.0,-999.0,-32.28129959,-999.0
-999.0,-999.0,-999.0,-31.5625,-999.0
-999.0,-999.0,-999.0,-31.09379959,-999.0
-999.0,-999.0,-999.0,-30.6718998,-999.0
-999.0,-999.0,-999.0,-30.0468998,-999.0
-999.0,-999.0,-999.0,-29.9531002,-999.0
-999.0,-999.0,-999.0,-29.2031002,-999.0
-999.0,-999.0,-999.0,-28.7656002,-999.0
-999.0,-999.0,-999.0,-28.15629959,-999.0
-999.0,-999.0,-999.0,-27.84379959,-999.0
-999.0,-999.0,-999.0,-27.3906002,-999.0
-999.0,-999.0,-999.0,-26.9218998,-999.0
-999.0,-999.0,-999.0,-26.4531002,-999.0
-999.0,-999.0,-999.0,-25.7031002,-999.0
-999.0,-999.0,-999.0,-25.5,-999.0
-999.0,-999.0,-999.0,-25.0625,-999.0
-999.0,-999.0,-999.0,-24.7343998,-999.0
-999.0,-999.0,-999.0,-24.1406002,-999.0
-999.0,-999.0,-999.0,-23.875,-999.0
-999.0,-999.0,-999.0,-23.5468998,-999.0
-999.0,-999.0,-999.0,-23.5,-999.0
-999.0,-999.0,-999.0,-23.7968998,-999.0
-999.0,-999.0,-999.0,-23.9218998,-999.0
-999.0,-999.0,-999.0,-24.0625,-999.0
-999.0,-999.0,-999.0,-24.1875,-999.0
-999.0,-999.0,-999.0,-24.1718998,-999.0
-999.0,-999.0,-999.0,-24.1875,-999.0
-999.0,-999.0,-999.0,-24.7656002,-999.0
-999.0,-999.0,-999.0,-24.2968998,-999.0
-999.0,-999.0,-999.0,-24.125,-999.0
-999.0,-999.0,-999.0,-24.2031002,-999.0
-999.0,-999.0,-999.0,-24.03129959,-999.0
-999.0,-999.0,-999.0,-24.0156002,-999.0
-999.0,-999.0,-999.0,-23.75,-999.0
-999.0,-999.0,-999.0,-23.6406002,-999.0
-999.0,-999.0,-999.0,-23.6093998,-999.0
-999.0,-999.0,-999.0,-23.6093998,-999.0
-999.0,-999.0,-999.0,-23.59379959,-999.0
-999.0,-999.0,-999.0,-23.65629959,-999.0
-999.0,-999.0,-999.0,-23.59379959,-999.0
-999.0,-999.0,-999.0,-23.9531002,-999.0
-999.0,-999.0,-999.0,-24.2343998,-999.0
-999.0,-999.0,-999.0,-24.5156002,-999.0
-999.0,-999.0,-999.0,-24.9218998,-999.0
-999.0,-999.0,-999.0,-25.1718998,-999.0
-999.0,-999.0,-999.0,-25.7031002,-999.0
-999.0,-999.0,-999.0,-26.2343998,-999.0
-999.0,-999.0,-999.0,-26.71879959,-999.0
-999.0,-999.0,-999.0,-27.5,-999.0
-999.0,-999.0,-999.0,-27.84379959,-999.0
-999.0,-999.0,-999.0,-27.625,-999.0
-999.0,-999.0,-999.0,-27.59379959,-999.0
-999.0,-999.0,-999.0,-27.9375,-999.0
-999.0,-999.0,-999.0,-28.28129959,-999.0
-999.0,-999.0,-999.0,-28.65629959,-999.0
