GR,RHOB,ILD,SP,NPHI,Predicted_Fluid,FLUIDTYPES
77.943199158,-999.0,21.296199799,19.7064991,-999.0,3.0,3.0
77.943199158,-999.0,21.363199234,19.748100281,-999.0,3.0,3.0
77.943199158,-999.0,21.430000305,20.322999954,-999.0,3.0,3.0
77.943199158,-999.0,21.49189949,20.364599228,-999.0,3.0,3.0
77.943199158,-999.0,21.471000671,20.97369957,-999.0,3.0,3.0
77.943199158,-999.0,21.444200516,21.514200211,-999.0,3.0,3.0
77.943199158,-999.0,21.440900803,20.953100204,-999.0,3.0,3.0
77.943199158,-999.0,21.42250061,20.994699478,-999.0,3.0,3.0
77.943199158,-999.0,21.406000137,21.569400787,-999.0,3.0,3.0
77.943199158,-999.0,21.406499863,21.576200485,-999.0,3.0,3.0
77.943199158,-999.0,21.406999588,21.583099365,-999.0,3.0,3.0
77.943199158,-999.0,21.4083004,21.57349968,-999.0,3.0,3.0
77.943199158,-999.0,21.423400879,21.290100098,-999.0,3.0,3.0
77.943199158,-999.0,21.429100037,21.000900269,-999.0,3.0,3.0
77.943199158,-999.0,21.386899948,20.9897995,-999.0,3.0,3.0
77.943199158,-999.0,21.321699142,20.685899734,-999.0,3.0,3.0
77.943199158,-999.0,21.29940033,20.384199142,-999.0,3.0,3.0
77.943199158,-999.0,21.266000748,19.823200226,-999.0,3.0,3.0
77.943199158,-999.0,21.223100662,19.830099106,-999.0,3.0,3.0
77.943199158,-999.0,21.195299149,19.836900711,-999.0,3.0,3.0
77.943199158,-999.0,21.172000885,19.843799591,-999.0,3.0,3.0
77.943199158,-999.0,21.122800827,19.850599289,-999.0,3.0,3.0
77.943199158,-999.0,21.083799362,19.891799927,-999.0,3.0,3.0
77.943199158,-999.0,21.062099457,20.46680069,-999.0,3.0,3.0
77.943199158,-999.0,21.040500641,20.473600388,-999.0,3.0,3.0
77.943199158,-999.0,21.018299103,20.480499268,-999.0,3.0,3.0
77.943199158,-999.0,20.98679924,20.453699112,-999.0,3.0,3.0
77.943199158,-999.0,20.933300018,19.893100739,-999.0,3.0,3.0
77.943199158,-999.0,20.861000061,19.900699615,-999.0,3.0,3.0
77.943199158,-999.0,20.815200806,19.873600006,-999.0,3.0,3.0
77.943199158,-999.0,20.714399338,19.313400269,-999.0,3.0,3.0
77.943199158,-999.0,20.581899643,19.320999146,-999.0,3.0,3.0
77.943199158,-999.0,20.437700272,19.32859993,-999.0,3.0,3.0
77.943199158,-999.0,20.343200684,19.3708992,-999.0,3.0,3.0
77.943199158,-999.0,20.276599884,19.911899567,-999.0,3.0,3.0
77.943199158,-999.0,20.291700363,19.3166008,-999.0,3.0,3.0
77.943199158,-999.0,20.22990036,18.756399155,-999.0,3.0,3.0
77.943199158,-999.0,20.033899307,18.811000824,-999.0,3.0,3.0
77.943199158,-999.0,20.035100937,19.463499069,-999.0,3.0,3.0
77.943199158,-999.0,20.034099579,17.463499069,-999.0,3.0,3.0
77.943199158,-999.0,19.997699738,18.184200287,-999.0,3.0,3.0
77.943199158,-999.0,19.999000549,18.191799164,-999.0,3.0,3.0
77.943199158,-999.0,20.000200272,18.199300766,-999.0,3.0,3.0
77.943199158,-999.0,19.999099731,18.172199249,-999.0,3.0,3.0
77.943199158,-999.0,19.955999374,17.577699661,-999.0,3.0,3.0
77.943199158,-999.0,19.845399857,16.982700348,-999.0,3.0,3.0
77.943199158,-999.0,19.84569931,16.421899796,-999.0,3.0,3.0
77.943199158,-999.0,19.842300415,16.42950058,-999.0,3.0,3.0
77.943199158,-999.0,19.763799667,16.437000275,-999.0,3.0,3.0
77.943199158,-999.0,19.671199799,16.444599152,-999.0,3.0,3.0
77.943199158,-999.0,19.352899551,16.46570015,-999.0,3.0,3.0
77.943199158,-999.0,19.207500458,16.750799179,-999.0,3.0,3.0
77.943199158,-999.0,19.053899765,17.707199097,-999.0,3.0,3.0
77.943199158,-999.0,19.019800186,18.282600403,-999.0,3.0,3.0
77.943199158,-999.0,19.064500809,18.255500793,-999.0,3.0,3.0
77.943199158,-999.0,19.166500092,17.695100784,-999.0,3.0,3.0
77.943199158,-999.0,19.236600876,17.702699661,-999.0,3.0,3.0
77.943199158,-999.0,19.354700089,17.676000595,-999.0,3.0,3.0
77.943199158,-999.0,19.577400208,17.149499893,-999.0,3.0,3.0
77.943199158,-999.0,19.525800705,17.725400925,-999.0,3.0,3.0
77.943199158,-999.0,19.742200851,17.732999802,-999.0,3.0,3.0
77.943199158,-999.0,19.788799286,17.740499496,-999.0,3.0,3.0
77.943199158,-999.0,19.869400024,17.71380043,-999.0,3.0,3.0
77.943199158,-999.0,19.947200775,17.118200302,-999.0,3.0,3.0
77.943199158,-999.0,20.046100616,16.557800293,-999.0,3.0,3.0
77.943199158,-999.0,20.375699997,16.573400497,-999.0,3.0,3.0
77.943199158,-999.0,20.537700653,16.737800598,-999.0,3.0,3.0
77.943199158,-999.0,20.746700287,17.183200836,-999.0,3.0,3.0
77.943199158,-999.0,20.868299484,17.190799713,-999.0,3.0,3.0
77.943199158,-999.0,20.876800537,17.198299408,-999.0,3.0,3.0
77.943199158,-999.0,21.005800247,17.205900192,-999.0,3.0,3.0
77.943199158,-999.0,21.147100449,17.247699738,-999.0,3.0,3.0
77.943199158,-999.0,21.082199097,17.823799133,-999.0,3.0,3.0
77.943199158,-999.0,21.002500534,17.797000885,-999.0,3.0,3.0
77.943199158,-999.0,20.907300949,17.236099243,-999.0,3.0,3.0
77.943199158,-999.0,20.848600388,17.243700027,-999.0,3.0,3.0
77.943199158,-999.0,20.780500412,17.216499329,-999.0,3.0,3.0
77.943199158,-999.0,20.660600662,16.65940094,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,-999.0,-999.0,3.0,3.0
77.943199158,-999.0,20.475299835,16.735399246,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,-999.0,-999.0,3.0,3.0
77.943199158,-999.0,20.028699875,17.281499863,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,-999.0,-999.0,3.0,3.0
77.943199158,-999.0,19.190500259,17.899400711,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,-999.0,-999.0,3.0,3.0
77.943199158,-999.0,17.717300415,17.93129921,-999.0,3.0,3.0
77.943199158,-999.0,16.731100082,18.524999619,-999.0,3.0,3.0
77.943199158,-999.0,15.738900185,18.497299194,-999.0,3.0,3.0
77.943199158,-999.0,13.950499535,17.937299728,-999.0,3.0,3.0
77.943199158,-999.0,11.812299728,17.944900513,-999.0,3.0,3.0
77.943199158,-999.0,11.168100357,17.987199783,-999.0,3.0,3.0
77.943199158,-999.0,9.8259000778,18.633399963,-999.0,3.0,3.0
77.943199158,-999.0,8.5916004181,19.811000824,-999.0,3.0,3.0
77.943199158,-999.0,7.6786999702,20.386699677,-999.0,3.0,3.0
77.943199158,-999.0,6.8494000435,20.394300461,-999.0,3.0,3.0
77.943199158,-999.0,6.3921999931,20.401899338,-999.0,3.0,3.0
77.943199158,-999.0,6.0268998146,20.409500122,-999.0,3.0,3.0
77.943199158,-999.0,5.7892999649,20.417100906,-999.0,3.0,3.0
77.943199158,-999.0,5.5556001663,20.424699783,-999.0,3.0,3.0
77.943199158,-999.0,5.3972001076,20.467100143,-999.0,3.0,3.0
77.943199158,-999.0,5.3263001442,21.042900085,-999.0,3.0,3.0
77.943199158,-999.0,5.2925000191,21.05050087,-999.0,3.0,3.0
77.943199158,-999.0,5.339099884,21.058099747,-999.0,3.0,3.0
77.943199158,-999.0,5.4197998047,21.065700531,-999.0,3.0,3.0
77.943199158,-999.0,5.5585999489,21.110900879,-999.0,3.0,3.0
77.943199158,-999.0,5.7256999016,21.686300278,-999.0,3.0,3.0
77.943199158,-999.0,5.8766999245,21.053300858,-999.0,3.0,3.0
77.943199158,-999.0,6.2786998749,20.47769928,-999.0,3.0,3.0
77.943199158,-999.0,6.8533000946,20.144699097,-999.0,3.0,3.0
77.943199158,-999.0,7.4622998238,18.589899063,-999.0,3.0,3.0
77.943199158,-999.0,8.6400995255,16.7689991,-999.0,3.0,3.0
77.943199158,-999.0,10.050999641,15.664000511,-999.0,3.0,3.0
77.943199158,-999.0,10.275600433,15.034199715,-999.0,3.0,3.0
77.943199158,-999.0,10.880399704,13.905200005,-999.0,3.0,3.0
77.943199158,-999.0,11.513600349,13.912699699,-999.0,3.0,3.0
77.943199158,-999.0,11.993300438,13.92029953,-999.0,3.0,3.0
77.943199158,-999.0,12.474699974,13.927800179,-999.0,3.0,3.0
77.943199158,-999.0,13.044300079,13.935299873,-999.0,3.0,3.0
77.943199158,-999.0,13.546500206,13.977600098,-999.0,3.0,3.0
77.943199158,-999.0,13.934200287,14.588700294,-999.0,3.0,3.0
77.943199158,-999.0,14.323900223,15.198900223,-999.0,3.0,3.0
77.943199158,-999.0,14.757699966,15.774701118,-999.0,3.0,3.0
77.943199158,-999.0,15.126799583,15.782299995,-999.0,3.0,3.0
77.943199158,-999.0,15.353300095,15.824601173,-999.0,3.0,3.0
77.943199158,-999.0,15.566200256,16.400499344,-999.0,3.0,3.0
77.943199158,-999.0,15.723500252,16.442899704,-999.0,3.0,3.0
77.943199158,-999.0,15.826700211,17.018800735,-999.0,3.0,3.0
77.943199158,-999.0,15.881500244,17.058000565,-999.0,3.0,3.0
77.943199158,-999.0,15.922599792,17.585599899,-999.0,3.0,3.0
77.943199158,-999.0,15.958999634,17.644599915,-999.0,3.0,3.0
77.943199158,-999.0,15.920399666,17.683000565,-999.0,3.0,3.0
77.943199158,-999.0,15.880399704,18.156400681,-999.0,3.0,3.0
77.943199158,-999.0,15.818900108,17.632099152,-999.0,3.0,3.0
77.943199158,-999.0,15.750900269,17.036899567,-999.0,3.0,3.0
77.943199158,-999.0,15.477600098,16.440799713,-999.0,3.0,3.0
77.943199158,-999.0,15.276499748,15.880400658,-999.0,3.0,3.0
77.943199158,-999.0,15.029500008,15.887999535,-999.0,3.0,3.0
77.943199158,-999.0,14.706999779,15.8606987,-999.0,3.0,3.0
77.943199158,-999.0,14.224100113,15.299799919,-999.0,3.0,3.0
77.943199158,-999.0,14.036100388,15.279800415,-999.0,3.0,3.0
77.943199158,-999.0,13.627300262,14.82970047,-999.0,3.0,3.0
77.943199158,-999.0,13.177399635,14.684399605,-999.0,3.0,3.0
77.943199158,-999.0,12.66230011,14.096500397,-999.0,3.0,3.0
77.943199158,-999.0,12.213399887,13.661000252,-999.0,3.0,3.0
77.943199158,-999.0,11.800299644,13.50039959,-999.0,3.0,3.0
77.943199158,-999.0,11.278599739,12.939499855,-999.0,3.0,3.0
77.943199158,-999.0,10.79640007,12.94699955,-999.0,3.0,3.0
77.943199158,-999.0,10.194399834,12.954500198,-999.0,3.0,3.0
77.943199158,-999.0,9.7887001038,12.996800423,-999.0,3.0,3.0
77.943199158,-999.0,9.407699585,13.572899818,-999.0,3.0,3.0
77.943199158,-999.0,9.3302001953,13.580400467,-999.0,3.0,3.0
77.943199158,-999.0,8.418299675,13.587900162,-999.0,3.0,3.0
77.943199158,-999.0,7.9748001099,13.595399857,-999.0,3.0,3.0
77.943199158,-999.0,7.7620000839,13.638199806,-999.0,3.0,3.0
77.943199158,-999.0,7.3959999084,14.235899925,-999.0,3.0,3.0
77.943199158,-999.0,7.022600174,14.649999619,-999.0,3.0,3.0
77.943199158,-999.0,6.7207999229,15.688300133,-999.0,3.0,3.0
77.943199158,-999.0,6.420800209,20.061300278,-999.0,3.0,3.0
77.943199158,-999.0,6.1697998047,16.72480011,-999.0,3.0,3.0
77.943199158,-999.0,6.0985999107,17.855100632,-999.0,3.0,3.0
77.943199158,-999.0,5.9211001396,18.48279953,-999.0,3.0,3.0
77.943199158,-999.0,5.836400032,18.52519989,-999.0,3.0,3.0
77.943199158,-999.0,5.7671999931,19.101400375,-999.0,3.0,3.0
77.943199158,-999.0,5.861700058,19.074100494,-999.0,3.0,3.0
77.943199158,-999.0,6.1767997742,18.51309967,-999.0,3.0,3.0
77.943199158,-999.0,6.4230999947,18.41629982,-999.0,3.0,3.0
77.943199158,-999.0,6.6114001274,16.647399902,-999.0,3.0,3.0
77.943199158,-999.0,7.5223999023,15.449000359,-999.0,3.0,3.0
77.943199158,-999.0,7.9885001183,14.319299698,-999.0,3.0,3.0
77.943199158,-999.0,8.2634000778,14.291999817,-999.0,3.0,3.0
77.943199158,-999.0,8.6403999329,13.730899811,-999.0,3.0,3.0
77.943199158,-999.0,8.8528003693,13.738400459,-999.0,3.0,3.0
77.943199158,-999.0,9.0564002991,13.78069973,-999.0,3.0,3.0
77.943199158,-999.0,9.3248996735,14.356900215,-999.0,3.0,3.0
77.943199158,-999.0,9.7524003983,14.364500046,-999.0,3.0,3.0
77.943199158,-999.0,10.372900009,14.371999741,-999.0,3.0,3.0
77.943199158,-999.0,11.031700134,14.379500389,-999.0,3.0,3.0
77.943199158,-999.0,11.758199692,14.38710022,-999.0,3.0,3.0
77.943199158,-999.0,12.458600044,14.394599915,-999.0,3.0,3.0
77.943199158,-999.0,13.052700043,14.402099609,-999.0,3.0,3.0
77.943199158,-999.0,13.695099831,14.410300255,-999.0,3.0,3.0
77.943199158,-999.0,14.195300102,14.463600159,-999.0,3.0,3.0
77.943199158,-999.0,14.737199783,15.028300285,-999.0,3.0,3.0
77.943199158,-999.0,15.34679985,15.035900116,-999.0,3.0,3.0
77.943199158,-999.0,15.883700371,15.043399811,-999.0,3.0,3.0
77.943199158,-999.0,16.406600952,15.028300285,-999.0,3.0,3.0
77.943199158,-999.0,16.849899292,14.663399696,-999.0,3.0,3.0
77.943199158,-999.0,17.250999451,14.498200417,-999.0,3.0,3.0
77.943199158,-999.0,17.587799072,15.073599815,-999.0,3.0,3.0
77.943199158,-999.0,17.776100159,15.045399666,-999.0,3.0,3.0
77.943199158,-999.0,17.964500427,14.484999657,-999.0,3.0,3.0
77.943199158,-999.0,18.158700943,14.492600441,-999.0,3.0,3.0
77.943199158,-999.0,18.339899063,14.500100136,-999.0,3.0,3.0
77.943199158,-999.0,18.52809906,14.543000221,-999.0,3.0,3.0
77.943199158,-999.0,18.714799881,15.118800163,-999.0,3.0,3.0
77.943199158,-999.0,18.879400253,15.161700249,-999.0,3.0,3.0
77.943199158,-999.0,19.037599564,15.744000435,-999.0,3.0,3.0
77.943199158,-999.0,19.160200119,15.881599426,-999.0,3.0,3.0
77.943199158,-999.0,19.34059906,16.356399536,-999.0,3.0,3.0
77.943199158,-999.0,19.397499084,16.363899231,-999.0,3.0,3.0
77.943199158,-999.0,19.478399277,16.371500015,-999.0,3.0,3.0
77.943199158,-999.0,19.566299438,16.406900406,-999.0,3.0,3.0
77.943199158,-999.0,19.757299423,16.870500565,-999.0,3.0,3.0
77.943199158,-999.0,19.802099228,17.03319931,-999.0,3.0,3.0
77.943199158,-999.0,19.923900604,17.609199524,-999.0,3.0,3.0
77.943199158,-999.0,20.039899826,17.616800308,-999.0,3.0,3.0
77.943199158,-999.0,20.085599899,17.624300003,-999.0,3.0,3.0
77.943199158,-999.0,20.199300766,17.667699814,-999.0,3.0,3.0
77.943199158,-999.0,20.200500488,18.243200302,-999.0,3.0,3.0
77.943199158,-999.0,20.1916008,18.179300308,-999.0,3.0,3.0
77.943199158,-999.0,20.048900604,17.050899506,-999.0,3.0,3.0
77.943199158,-999.0,20.321300507,17.05850029,-999.0,3.0,3.0
77.943199158,-999.0,20.277500153,17.065999985,-999.0,3.0,3.0
77.943199158,-999.0,20.146799088,17.037799835,-999.0,3.0,3.0
77.943199158,-999.0,19.964899063,16.51210022,-999.0,3.0,3.0
77.943199158,-999.0,19.672399521,17.068599701,-999.0,3.0,3.0
77.943199158,-999.0,19.335699081,16.909200668,-999.0,3.0,3.0
77.943199158,-999.0,19.069000244,16.893600464,-999.0,3.0,3.0
77.943199158,-999.0,18.737800598,17.076099396,-999.0,3.0,3.0
77.943199158,-999.0,18.42539978,16.55050087,-999.0,3.0,3.0
77.943199158,-999.0,18.076599121,17.126600266,-999.0,3.0,3.0
77.943199158,-999.0,17.622999191,17.142599106,-999.0,3.0,3.0
77.943199158,-999.0,17.261199951,17.277799606,-999.0,3.0,3.0
77.943199158,-999.0,16.783800125,17.149299622,-999.0,3.0,3.0
77.943199158,-999.0,16.292800903,17.156900406,-999.0,3.0,3.0
77.943199158,-999.0,15.901399612,17.164499283,-999.0,3.0,3.0
77.943199158,-999.0,15.415100098,17.202600479,-999.0,3.0,3.0
77.943199158,-999.0,14.946000099,17.658800125,-999.0,3.0,3.0
77.943199158,-999.0,14.666099548,17.049999237,-999.0,3.0,3.0
77.943199158,-999.0,14.064399719,16.520200729,-999.0,3.0,3.0
77.943199158,-999.0,13.619799614,15.390600204,-999.0,3.0,3.0
77.943199158,-999.0,13.266400337,15.398099899,-999.0,3.0,3.0
77.943199158,-999.0,13.00909996,15.40569973,-999.0,3.0,3.0
77.943199158,-999.0,12.836000443,15.448599815,-999.0,3.0,3.0
77.943199158,-999.0,12.826700211,16.076099396,-999.0,3.0,3.0
77.943199158,-999.0,12.918299675,16.954299927,-999.0,3.0,3.0
77.943199158,-999.0,13.183899879,17.887500763,-999.0,3.0,3.0
77.943199158,-999.0,13.470700264,18.463300705,-999.0,3.0,3.0
77.943199158,-999.0,14.054100037,18.470899582,-999.0,3.0,3.0
77.943199158,-999.0,14.593600273,18.513799667,-999.0,3.0,3.0
77.943199158,-999.0,15.087800026,19.090099335,-999.0,3.0,3.0
77.943199158,-999.0,15.630000114,19.097600937,-999.0,3.0,3.0
77.943199158,-999.0,15.963500023,19.105199814,-999.0,3.0,3.0
77.943199158,-999.0,16.235200882,19.11289978,-999.0,3.0,3.0
77.943199158,-999.0,16.620000839,19.155799866,-999.0,3.0,3.0
77.943199158,-999.0,16.9416008,19.76709938,-999.0,3.0,3.0
77.943199158,-999.0,17.274299622,20.330799103,-999.0,3.0,3.0
